year,month,day,hour,minute,temp_mean,humidity_mean,pressure,precipitation_hr,precipitation_lr,snowfall_hr,snowfall_lr,total_cloudcover_mean,high_cloudcover_mean,medium_cloudcover_mean,low_cloudcover_mean,sunshine_duration,shortwave_radiation,windspeed_mean,winddirection_mean,windspeed_mean_80m,winddirection_mean_80m,windspeed_mean_900m,winddirection_mean_900m,windgust_mean,temp_max,temp_min,humidity_max,humidity_min,pressure_max,pressure_min,total_cloudcover_max,total_cloudcover_min,high_cloudcover_max,high_cloudcover_min,medium_cloudcover_max,medium_cloudcover_min,low_cloudcover_max,low_cloudcover_min,wind_speed_max_10m,wind_speed_min_10m,wind_speed_max_80m,wind_speed_min_80m,wind_speed_max_900m,wind_speed_min_900m,wind_gust_max,wind_gust_min,dew_point_max,dew_point_min
2012,1,1,0,0,11.15,79.96,1018.33,0.0,0.9,0.0,0.0,78.12,50.75,54.71,46.58,40.85,1431.12,14.67,219.1,22.46,231.05,53.84,263.57,31.9,14.46,8.13,89,68,1020.2,1015.1,100.0,5.0,100,0,100,0,100,0,21.07,7.9,29.38,12.14,62.07,46.8,49.32,8.64,12.667908580622559,2.580996106978289
2012,1,2,0,0,8.75,76.08,1016.12,4.2,6.7,0.0,0.0,94.08,57.21,82.46,70.62,10.32,632.79,17.93,233.19,25.13,245.04,65.72,265.33,34.8,11.72,4.41,87,66,1024.1,1011.5,100.0,35.0,100,0,100,0,100,0,35.5,5.09,46.14,7.97,89.52,34.65,67.32,5.76,9.627383477713364,-1.3809779711408838
2012,1,3,0,0,6.34,73.71,1023.14,1.2,2.3,0.0,0.0,41.27,20.0,23.46,28.62,439.58,1841.41,20.01,219.26,27.05,223.86,60.11,257.34,42.91,10.3,0.84,91,49,1027.9,1017.6,100.0,0.9,85,0,100,0,100,0,35.95,7.86,47.13,7.09,100.17,24.97,77.76,7.92,8.89508417806376,-8.65380333446897
2012,1,4,0,0,6.72,74.62,1023.07,5.4,3.5,0.0,0.0,68.43,23.96,51.79,51.5,395.36,1642.05,28.2,257.35,36.92,257.83,67.29,272.66,53.82,9.62,4.54,86,63,1027.7,1015.9,100.0,0.0,100,0,100,0,100,0,36.25,19.2,47.23,28.67,88.68,49.55,73.8,39.24,7.3930481731496185,-1.8889298728179171
2012,1,5,0,0,6.62,75.04,1007.3,6.2,12.4,0.0,0.0,92.12,44.12,73.12,73.42,39.57,1350.13,42.45,261.06,54.29,261.74,96.73,272.13,79.05,9.32,4.42,83,66,1021.7,998.2,100.0,40.0,100,0,100,0,100,0,53.74,28.95,67.23,38.91,114.51,70.63,92.88,57.96,6.581218847280401,-1.3714506352458458
2012,1,6,0,0,3.54,78.58,1019.69,0.6,6.6,0.0,1.33,87.75,0.96,8.79,87.25,0.0,1537.03,25.41,288.42,32.55,289.98,52.6,322.03,43.93,5.79,1.29,87,68,1028.3,1007.9,100.0,3.0,6,0,100,0,100,3,32.42,18.73,42.36,24.14,74.84,21.17,59.76,33.12,3.795307302391624,-3.957803617031228
2012,1,7,0,0,4.21,80.33,1024.6,3.2,4.9,0.0,2.66,55.46,1.04,8.42,55.46,0.0,588.29,23.15,254.24,31.65,256.17,57.7,282.61,47.25,6.7,0.12,89,59,1028.6,1021.7,100.0,0.0,16,0,100,0,100,0,33.38,10.63,41.34,18.72,77.43,33.62,59.76,21.96,5.0161431535955945,-6.933524256265493
2012,1,8,0,0,5.27,84.79,1024.53,2.2,4.0,0.0,0.0,80.68,5.79,27.54,80.54,45.02,1156.11,24.17,276.87,31.75,277.93,49.22,305.42,42.48,6.51,4.1,90,75,1027.7,1022.5,100.0,0.3,97,0,100,0,100,0,29.18,18.45,36.81,23.98,58.79,33.71,51.12,28.44,4.98894590176687,0.07114553604569601
2012,1,9,0,0,4.94,83.75,1031.46,0.7,2.3,0.0,0.0,96.62,0.75,5.21,96.62,0.0,1616.24,14.43,263.11,19.1,263.64,24.78,305.13,24.01,6.67,2.99,92,74,1033.1,1028.6,100.0,21.0,12,0,62,0,100,21,18.13,10.82,24.7,12.73,42.24,9.0,35.28,15.48,5.463105867587849,-1.1852993863615542
2012,1,10,0,0,6.31,85.75,1034.77,1.2,3.0,0.0,0.0,60.0,0.0,0.0,60.0,118.2,1132.08,7.4,197.32,11.79,204.0,16.9,210.23,10.88,8.54,3.41,93,78,1036.2,1032.1,100.0,0.0,0,0,0,0,100,0,18.33,0.8,26.08,1.44,39.61,8.12,35.64,1.08,7.47280079201521,-0.057775886168116436
2012,1,11,0,0,3.4,91.21,1035.98,0.0,0.0,0.0,0.0,53.34,5.62,0.08,52.42,166.03,1740.84,4.22,198.17,5.69,204.48,6.62,191.08,5.11,6.53,0.9,96,85,1036.9,1034.1,100.0,1.8,21,0,2,0,100,0,6.44,1.14,10.14,0.0,14.11,0.0,9.0,0.72,5.93831283708489,-1.3326223266955466
2012,1,12,0,0,2.66,74.5,1031.19,0.1,0.0,0.0,0.0,29.73,3.17,1.17,29.17,529.43,1995.38,6.99,190.37,10.75,192.76,27.41,261.39,13.51,7.38,-0.01,96,62,1035.6,1028.5,100.0,0.0,19,0,20,0,100,0,15.46,1.14,23.44,2.9,49.26,4.55,41.4,0.36,6.784192165481178,-6.411456359796995
